@context,@type,url,sameAs,contactPoint,alternateName,name,itemListElement,address,image,description,telephone,contactPoint_@type,contactPoint_contactType,contactPoint_email,contactPoint_url,itemListElement_item_name,itemListElement_position,itemListElement_@type,itemListElement_item_@id,address_addressLocality,address_streetAddress,address_addressRegion,address_postalCode,address_@type
https://schema.org,LocalBusiness,,,,,Alameda Food Bank,,,https://www.foodpantries.org/gallery/925_alameda-food-bank_fca.png,"This location offers a Monthly Food Program (if eligible you may attend once per month). To be eligible you must be a resident of the city of Alameda and the household income must be at or below the current requirements. You will be required to bring a picture ID and current proof of residency such as a utility bill , lease or other such documents, each time you visit the program. Hours:Monday , Wednesday and Friday 1:00pm - 4:00pm (except the Third Wednesday of the month)Tuesday 4:30pm - 6:30pmThe second ,",(510) 523-5850,,,,,,,,,Alameda,1900 Thau Way,CA,94501,PostalAddress
https://schema.org,LocalBusiness,,,,,Covenant House California Crisis Shelter - Oakland,,,https://www.foodpantries.org/gallery/no_photo_4.jpg,Los Angeles and Bay Area campuses offer three nutritious home-cooked meals to our residents receive each and every day....,(510) 379-1010,,,,,,,,,Oakland,200 Harrison Street,CA,94607,PostalAddress
https://schema.org,LocalBusiness,,,,,East Gibson Food Pantry,,,https://www.foodpantries.org/gallery/no_photo_1.jpg,"The East Gibson Food Pantry is located at Trinity United Methodist Church. For more information, please call....",812-795-2624,,,,,,,,,Oakland City,210 Harrison St,IN,47660,PostalAddress
https://schema.org,LocalBusiness,,,,,CID Project of the East Bay- Oakland,,,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Provides advocacy and support to CID clients. Services include a Wellness Clinic that offers primary care, food pantry, housing, funds for utilities, access to counseling, crisis intervention, long-term case management and agency referrals. Services are free.  Hours: Monday - Friday 9:30am - 12:30pm; 1:30pm - 5:30 pmFor more information, please call. ...",(510) 663-7979,,,,,,,,,Oakland,1320 Webster Street,CA,94612,PostalAddress
https://schema.org,LocalBusiness,,,,,Alameda County Community Food Bank,,,https://www.foodpantries.org/gallery/no_photo_6.jpg,Alameda County Community Food Bank distributes food to 275 agencies that provide food assistance to people in need. Their mission is to provide food and nutrition education to those in need within the community. Please contact them for more information on agency locations and eligibility requirements . Office&nbsp; Hours:Monday - Friday 9 am - 5pm Emergency Food Helpline:Monday - Friday 9am - 4pm 800-870-3663...,510-635-3663,,,,,,,,,Oakland,7900 Edgewater Drive,CA,94621,PostalAddress
https://schema.org,LocalBusiness,,,,,West Oakland Food Pantry - Prescott-Joseph Center,,,https://www.foodpantries.org/gallery/no_photo_2.jpg," Hours of Operation: Monday - Friday9:00am - 4:00pmFor more information, please call. ...",(510) 208-5651,,,,,,,,,Oakland,920 Peralta Street,CA,94607,PostalAddress
https://schema.org,LocalBusiness,,,,,Coast Hills Community Church,,,https://www.foodpantries.org/gallery/24030_coast_hills_community_church_92656_tjt.jpg,"Provides a food pantry.  Pantry Hours:1st and 3rd Saturday of the month (Coast Hill Church)2nd Saturday of the month (Camp Pendleton)Last Saturday of the month (Santa Ana) 8:00am - 10:00am Requirements: Bring Photo ID.For more information, please call. ",(949) 362-0079,,,,,,,,,Aliso Viejo,5 Pursuit,CA,92656,PostalAddress
https://schema.org,LocalBusiness,,,,,American Canyon Recreation Center Food Pantry,,,https://www.foodpantries.org/gallery/no_photo_4.jpg,Provides a food pantry.  Serves Napa County (American Canyon) Pantry hours: Second and Fourth Tuesday of the month from 10:30am to 1:30pm. ,(707) 253-6128,,,,,,,,,American Canyon,2185 Elliott Drive,CA,94503,PostalAddress
https://schema.org,LocalBusiness,,,,,Zion Lutheran Church,,,https://www.foodpantries.org/gallery/24334_zion_lutheran_church_92805_tin.jpg,&nbsp;Zion provides food pantry.Hours The 2nd and 4th Sunday of each month  1:00pm They do not take appointments.,714-535-1169,,,,,,,,,Anaheim,222 N. East Street,CA,92805,PostalAddress
https://schema.org,LocalBusiness,,,,,Vineyard Christian Fellowship,,,https://www.foodpantries.org/gallery/24316_vineyard_christian_fellowship_92807_mky.jpg,"Provides a food pantry.  Pantry Hours:The food pantry is open Tuesdays and Thursdays from 8:30-11:30For more information, please call. ",(714) 777-4777,,,,,,,,,Anaheim,5340 E. La Palma,CA,92807,PostalAddress
