name,address_postalCode,address_streetAddress,address_addressRegion,image,description,@context,address_@type,telephone,address_addressLocality,@type
Shepherd's Pantry - Baldwin Park,91706,13020 Francissquito Ave,CA,https://www.foodpantries.org/gallery/39049_ca_91706_shepherds-pantry-baldwin-park_tmv.png,"Hours:Friday5:00pm - 7:00pmFor more information, please call. ",https://schema.org,PostalAddress,(626) 671-0090,Baldwin Park,LocalBusiness
Shepherd's Pantry - Irwindale Distribution Center,91706,1418 Arrow Highway,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",https://schema.org,PostalAddress,(626) 305-0392,Irwindale,LocalBusiness
La Puente Church of Christ,91746,15124 Amar Rd,CA,https://www.foodpantries.org/gallery/no_photo_9.jpg,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,https://schema.org,PostalAddress,(626) 917-8814,La Puente,LocalBusiness
Our Saviour Center Food Pantry,91731,4368 Santa Anita Ave,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Distributes groceries.Hours:Tuesday and Thursday (except holidays)For more information, please call....",https://schema.org,PostalAddress,(626) 579-2190,El Monte,LocalBusiness
Our Saviour Center Food Pantry,91731,4368 Santa Anita Ave.,CA,https://www.foodpantries.org/gallery/no_photo_1.jpg,"Hours:Tuesday and Thursday 10:00am to 1:00pmUnless it is a holiday.  Requirements: Picture ID requested.For more information, please call. ...",https://schema.org,PostalAddress,(626) 579-2190,El Monte,LocalBusiness
Elim Community Pantry,91723,550 South Hollenbeck Avenue,CA,https://www.foodpantries.org/gallery/no_photo_6.jpg,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos Espa̱ol.Hablamos Espa̱ol.For more information, please call...",https://schema.org,PostalAddress,(626) 915-5300,Covina,LocalBusiness
St Bernard Church Food Pantry,90706,9627 Beach St,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: Tuesday 10:00am to 1:00pm Get there early to get in line. Canned food and other groceries. For more information, please call.",https://schema.org,PostalAddress,(562) 867-2337,Bellflower,LocalBusiness
Bethany Church,90706,17054 Bixby Ave,CA,https://www.foodpantries.org/gallery/38349_bethany-church_pgy.png,"For more information, please call.",https://schema.org,PostalAddress,(562) 866-1812,Bellflower,LocalBusiness
The Lord's Church,90706,9740 Flower Street,CA,https://www.foodpantries.org/gallery/38350_the-lords-church_wqf.png,Food Hours: Every 2nd and 4th Wednesday 7:45pm  Clothing Distribution: Hours:Every 1st and 3rd Wednesday 10:00am - 12:00pm,https://schema.org,PostalAddress,(562) 866-8283,Bellflower,LocalBusiness
Hosanna Chapel of Bellflower,90706,16705 Bellflower Blvd,CA,https://www.foodpantries.org/gallery/38351_hosanna-chapel-of-bellflower_wuy.jpg,"Food Distribution:  Bread, soft drinks, Misc food available.Hours:8:30pm - 9:00pmAfter Bible study at 7:15 PM First come , first served.   Back of the Church. For more information, please call. ",https://schema.org,PostalAddress,(562) 925-5093,Bellflower,LocalBusiness
St Dominic Savio Church,90706,13400 Bellflower BLVD,CA,https://www.foodpantries.org/gallery/no_photo_3.jpg,"Food Distribution Hours:Every Thursday 8:00am to 10:00amCanned foods, bread and meats.",https://schema.org,PostalAddress,(562) 920-7796,Bellflower,LocalBusiness
Bellwood Baptist Church,90706,17614 Virginia Ave,CA,https://www.foodpantries.org/gallery/no_photo_8.jpg,"Hours: Thursday10:00amFor more information, please call.",https://schema.org,PostalAddress,(562) 925-4888,Bellflower,LocalBusiness
